央视,#genre#
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226781/1.m3u8
海南卫视,http://ivi.bupt.edu.cn/hls/lyhd.m3u8#http://ivi.bupt.edu.cn/hls/lytv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225890/1.m3u8
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8
江西卫视,http://ivi.bupt.edu.cn/hls/jxhd.m3u8#http://ivi.bupt.edu.cn/hls/jxtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226243/1.m3u8#http://live.hcs.cmvideo.cn:8088/migu/kailu/jxwshd/51/20190820/index.m3u8?ProgramID=&encrypt=
天津卫视,http://ivi.bupt.edu.cn/hls/tjhd.m3u8#http://ivi.bupt.edu.cn/hls/tjtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226246/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/hdtianjinstv/yst.m3u8
河北卫视,http://ivi.bupt.edu.cn/hls/hebhd.m3u8#http://ivi.bupt.edu.cn/hls/hebtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225881/1.m3u8#http://live01.hebtv.com/channels/hebtv/video_channel_04/flv:2000k/live#http://61.151.179.194/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
河南卫视,http://ivi.bupt.edu.cn/hls/hnhd.m3u8#http://ivi.bupt.edu.cn/hls/hntv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8
山东卫视,http://ivi.bupt.edu.cn/hls/sdhd.m3u8#http://ivi.bupt.edu.cn/hls/sdtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226308/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/hdshandongstv/yst.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225895/1.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/shanxi/1000/index.m3u8?ProgramID=&encrypt=#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=010&Provider_id=&Pcontent_id=index.m3u8
湖北卫视,http://ivi.bupt.edu.cn/hls/hbhd.m3u8#http://ivi.bupt.edu.cn/hls/hbtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226310/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225948/1.m3u8
重庆卫视,http://ivi.bupt.edu.cn/hls/cqhd.m3u8#http://ivi.bupt.edu.cn/hls/cqtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226337/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/chongqingstv/yst.m3u8
四川卫视,http://ivi.bupt.edu.cn/hls/schd.m3u8#http://ivi.bupt.edu.cn/hls/sctv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225898/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221227006/1.m3u8
康巴卫视,http://scgctvshow.sctv.com/hdlive/kangba/index.m3u8
贵州卫视,http://ivi.bupt.edu.cn/hls/gzhd.m3u8#http://ivi.bupt.edu.cn/hls/gztv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225880/1.m3u8#http://39.135.9.77/gz.ucdn.10086.cn/PLTV/88888888/224/3221225771/1/index.m3u8?fmt=ts2hls
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225902/1.m3u8#http://223.110.245.159/ott.js.chinamobile.com/PLTV/3/224/3221225838/index.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/yunnan/1000/index.m3u8?ProgramID=&encrypt=#http://39.130.215.166:6410/gitv_live/G_YUNNAN-HD/G_YUNNAN-H.m3u8
黑龙江卫视,http://ivi.bupt.edu.cn/hls/hljhd.m3u8#http://ivi.bupt.edu.cn/hls/hljtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226239/1.m3u8#http://117.169.124.37:6610/ysten-businessmobile/live/hdheilongjiangstv/yst.m3u8
辽宁卫视,http://ivi.bupt.edu.cn/hls/lnhd.m3u8#http://ivi.bupt.edu.cn/hls/lntv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226336/1.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226881/1.m3u8
吉林卫视,http://ivi.bupt.edu.cn/hls/jlhd.m3u8#http://ivi.bupt.edu.cn/hls/jltv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225886/1.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_v/2018/SD/jilin/1000/index.m3u8?ProgramID=&encrypt=
延边卫视,http://ivi.bupt.edu.cn/hls/ybtv.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8#http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_w/2018/SD/neimeng/1000/index.m3u8?ProgramID=&encrypt=#http://live.m2oplus.nmtv.cn/1/sd/live.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8#http://zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
宁夏卫视,http://ivi.bupt.edu.cn/hls/nxtv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225892/1.m3u8#http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8#http://live.hcs.cmvideo.cn:8088/envivo_x/2018/SD/ningxia/1000/index.m3u8?ProgramID=&encrypt=#http://112.50.243.8/PLTV/88888888/224/3221225849/1.m3u8
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225877/1.m3u8#http://39.134.39.39/PLTV/88888888/224/3221226240/index.m3u8
